model,h097,h100,h103,h106,h109,h112,h114,h043,h044,h045,h046,h047,h048,h049,h050,h051,h052,h053,h054,h055,h056,h057,h058,h059,h060,h061,h062,h063,h064,h065,h066,h067,h068,h069,h070,h071,h072,h073,h074,h075,h076,h077,h078,h079,h080,h081,h082,h083,h084,h085,h086,h087,h088,h089,h090,h091,h092,h093,h094,h095,h096,h098,h099,h101,h102,h104,h105,h107,h108,h110,h111,h112_114_max_balanced_0_10_50,h112_114_small_0_10_50,h113,h97_114_max_balanced_0_10_50,h97_114_small_0_10_50,s043,s044,s045,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057,s058,s059,s060,s061,s062,s063,s064,s065,s066,s067,s068,s069,s070,s071,s072,s073,s074,s075,s076,s077,s078,s079,s080,s081,s082,s083,s084,s085,s086,s087,s088,s089,s090,s091,s092,s093,s094,s095,s096,s097,s098,s099,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,average
transformer_e128_2_d3_10_l32_m_/r_/transformer_e128_2_d3_10_l32__max_balanced_0_1_1_new,1.0,0.0,0.8639072847682119,0.7957532861476239,0.7080318379160637,0.8457960644007155,0.827433628318584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7201317287930283
transformer_e128_2_d3_10_l16_m_/r_/transformer_e128_2_d3_10_l16__max_balanced_0_1_1_new,0.0,1.0,1.0,0.6552072800808898,0.7083936324167872,0.8196779964221824,0.7409046214355949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7034547900507793
transformer_e100_2_d3_10_l128_m_/r_/transformer_e100_2_d3_10_l128__max_balanced_0_1_1_new,0.5806320907617504,0.6037735849056604,0.6791390728476822,0.7441860465116279,0.7771345875542692,0.774597495527728,0.8264503441494592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.712273317465454
transformer_e100_2_d3_10_l128_glove_trainable_m_/r_/transformer_e100_2_d3_10_l128_glove_trainable__max_balanced_0_1_1_new,0.5854943273905997,0.5934496262014952,0.6281456953642384,0.7728345129760701,0.7196092619392185,0.7982110912343471,0.7527040314650935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6929212209387232
transformer_e100_2_d3_10_l128_glove_not_trainable_m_/r_/transformer_e100_2_d3_10_l128_glove_not_trainable__max_balanced_0_1_1_new,0.4538087520259319,0.587753648985404,0.6970198675496688,0.6518368722615436,0.611794500723589,0.6125223613595706,0.6312684365781711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6065720627834112
transformer_2_d3_20_m_/r_/transformer_2_d3_20__max_balanced_0_1_1_new,0.593192868719611,0.6126735493058028,0.6490066225165563,0.7526120660599933,0.7268451519536903,0.7964221824686941,0.7551622418879056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6979878118446077
transformer_2_2_m_/r_/transformer_2_2__max_balanced_0_1_1_new,0.5555105348460292,0.6286934852260591,0.6652317880794701,0.7448601280754972,0.7623010130246021,0.7581395348837209,0.8220255653883972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7052517213605395
transformer2_e64_2_d3_10_l128_m_/r_/transformer2_e64_2_d3_10_l128__max_balanced_0_1_1_new,0.6758508914100486,0.5557137771448915,0.7443708609271523,0.6912706437478935,0.7814761215629522,0.8211091234347049,0.7856440511307768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7222050670512027
transformer2_e32_2_d3_10_l128_m_/r_/transformer2_e32_2_d3_10_l128__max_balanced_0_1_1_new,0.5984602917341977,0.6525453898184407,0.7947019867549668,0.6474553420963937,0.7774963820549927,0.8114490161001789,0.7822025565388397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7234729950140014
svm_npr_m_/r_/svm_npr__max_balanced_0_new,0.6555915721231766,0.7087931648273407,0.7543046357615895,0.7809234917425009,0.8042691751085383,0.8153846153846154,0.7984267453294002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7596704857538803
