model,h097,h100,h103,h106,h109,h112,h114,h043,h044,h045,h046,h047,h048,h049,h050,h051,h052,h053,h054,h055,h056,h057,h058,h059,h060,h061,h062,h063,h064,h065,h066,h067,h068,h069,h070,h071,h072,h073,h074,h075,h076,h077,h078,h079,h080,h081,h082,h083,h084,h085,h086,h087,h088,h089,h090,h091,h092,h093,h094,h095,h096,h098,h099,h101,h102,h104,h105,h107,h108,h110,h111,h112_114_max_balanced_0_10_50,h112_114_small_0_10_50,h113,h97_114_max_balanced_0_10_50,h97_114_small_0_10_50,s043,s044,s045,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057,s058,s059,s060,s061,s062,s063,s064,s065,s066,s067,s068,s069,s070,s071,s072,s073,s074,s075,s076,s077,s078,s079,s080,s081,s082,s083,s084,s085,s086,s087,s088,s089,s090,s091,s092,s093,s094,s095,s096,s097,s098,s099,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,average
transformer_e100_2_d3_10_l128_glove_not_trainable_m_/r_/transformer_e100_2_d3_10_l128_glove_not_trainable__max_balanced_0_1_1_new,0.5773905996758509,0.6055535777856889,0.6306291390728477,0.6223458038422649,0.6799927641099855,0.6960644007155635,0.6619960668633235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6391389074379321
transformer_2_d3_20_m_/r_/transformer_2_d3_20__max_balanced_0_1_1_new,0.6485008103727715,0.6783552865788537,0.7162251655629139,0.7301988540613414,0.7771345875542692,0.7940966010733452,0.7691740412979351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.730526478071633
transformer_2_2_m_/r_/transformer_2_2__max_balanced_0_1_1_new,0.6541734197730956,0.6804912780348878,0.7183774834437087,0.7290192113245703,0.7762301013024602,0.8016100178890877,0.7863815142576205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7351832894322045
transformer2_e64_2_d3_10_l128_m_/r_/transformer2_e64_2_d3_10_l128__max_balanced_0_1_1_new,0.656807131280389,0.665183339266643,0.7119205298013245,0.716211661611055,0.774602026049204,0.787298747763864,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7271144590786082
transformer2_e32_2_d3_10_l128_m_/r_/transformer2_e32_2_d3_10_l128__max_balanced_0_1_1_new,0.6460696920583469,0.6660733357066572,0.7137417218543046,0.7167172227839569,0.7758683068017366,0.7987477638640429,0.7819567354965585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7284535397950862
svm_npr_m_/r_/svm_npr__max_balanced_0_new,0.6722042139384117,0.7046991812032752,0.7539735099337749,0.766767778901247,0.807163531114327,0.8255813953488372,0.8136676499508357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7634367514843869
svm_npr_m_/r_/svm_npr__bayram_new,0.619,0.655,0.727,0.657,0.752,0.79,0.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7105714285714286
svm_npr_m_/r_/svm_npr__bayram_3_7_new,0.635,0.647,0.733,0.671,0.762,0.808,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7194285714285715
svm_npr_m_/r_/svm_npr__bayram_1_1_new,0.638,0.652,0.734,0.674,0.766,0.804,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7211428571428572
svm_m_/r_/svm_r__,0.566,0.641,0.727,0.657,0.753,0.789,0.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6971428571428572
